x_p,delta_V
0.3373251533,-0.0030732305
0.3374217056,-0.0030444321
0.3375182579,-0.0030154481
0.3376148101,-0.0029862797
0.3377113624,-0.0029569284
0.3378079146,-0.0029273956
0.3379044669,-0.0028976825
0.3380010191,-0.0028677906
0.3380975714,-0.0028377214
0.3381941236,-0.0028074760
0.3382906759,-0.0027767520
0.3383872281,-0.0027451091
0.3384837803,-0.0027132346
0.3385803325,-0.0026811299
0.3386768847,-0.0026487964
0.3387734369,-0.0026162354
0.3388699891,-0.0025834483
0.3389665413,-0.0025504366
0.3390630935,-0.0025172015
0.3391596456,-0.0024837445
0.3392561978,-0.0024500669
0.3393527500,-0.0024161702
0.3394493022,-0.0023820557
0.3395458543,-0.0023477247
0.3396424065,-0.0023131788
0.3397389587,-0.0022784191
0.3398355108,-0.0022434472
0.3399320630,-0.0022082645
0.3400286151,-0.0021728722
0.3401251672,-0.0021372717
0.3402217194,-0.0021014645
0.3403182715,-0.0020654520
0.3404148236,-0.0020292354
0.3405113758,-0.0019928163
0.3406079279,-0.0019561959
0.3407044800,-0.0019193757
0.3408010321,-0.0018823570
0.3408975842,-0.0018451412
0.3409941363,-0.0018077297
0.3410906884,-0.0017701238
0.3411872405,-0.0017319162
0.3412837926,-0.0016934456
0.3413803446,-0.0016547551
0.3414768967,-0.0016158458
0.3415734488,-0.0015767194
0.3416700008,-0.0015373770
0.3417665529,-0.0014978202
0.3418631049,-0.0014580503
0.3419596570,-0.0014180686
0.3420562090,-0.0013778766
0.3421527610,-0.0013374756
0.3422493131,-0.0012968670
0.3423458651,-0.0012560522
0.3424424171,-0.0012150326
0.3425389691,-0.0011738095
0.3426355211,-0.0011323844
0.3427320731,-0.0010907585
0.3428286251,-0.0010489334
0.3429251771,-0.0010069103
0.3430217291,-0.0009646907
0.3431182811,-0.0009222759
0.3432148331,-0.0008796673
0.3433113851,-0.0008368664
0.3434079370,-0.0007938744
0.3435044890,-0.0007506927
0.3436010410,-0.0007073228
0.3436975929,-0.0006637660
0.3437941449,-0.0006200236
0.3438906968,-0.0005760972
0.3439872488,-0.0005318648
0.3440838007,-0.0004873200
0.3441803526,-0.0004425790
0.3442769045,-0.0003976432
0.3443734565,-0.0003525140
0.3444700084,-0.0003071928
0.3445665603,-0.0002616809
0.3446631122,-0.0002159798
0.3447596641,-0.0001700907
0.3448562159,-0.0001240151
0.3449527678,-0.0000777544
0.3450493197,-0.0000313100
0.3451458716,0.0000153168
0.3452424234,0.0000621247
0.3453389753,0.0001091121
0.3454355272,0.0001562778
0.3455320790,0.0002036203
0.3456286308,0.0002511383
0.3457251827,0.0002988303
0.3458217345,0.0003466951
0.3459182863,0.0003947312
0.3460148382,0.0004429373
0.3461113900,0.0004913119
0.3462079418,0.0005398538
0.3463044936,0.0005885614
0.3464010454,0.0006374335
0.3464975972,0.0006864686
0.3465941490,0.0007356654
0.3466907008,0.0007850225
0.3467872526,0.0008345640
0.3468838043,0.0008844724
0.3469803561,0.0009345523
0.3470769078,0.0009848023
0.3471734596,0.0010352210
0.3472700113,0.0010858071
0.3473665631,0.0011365591
0.3474631148,0.0011874758
0.3475596666,0.0012385556
0.3476562183,0.0012897973
0.3477527700,0.0013411994
0.3478493217,0.0013927606
0.3479458734,0.0014444794
0.3480424251,0.0014963546
0.3481389768,0.0015483847
0.3482355285,0.0016005684
0.3483320802,0.0016529042
0.3484286319,0.0017053908
0.3485251836,0.0017580268
0.3486217352,0.0018108108
0.3487182869,0.0018637415
0.3488148385,0.0019168175
0.3489113902,0.0019700373
0.3490079418,0.0020233996
0.3491044935,0.0020769031
0.3492010451,0.0021305463
0.3492975967,0.0021843279
0.3493941484,0.0022382465
0.3494907000,0.0022923006
0.3495872516,0.0023464890
0.3496838032,0.0024010293
0.3497803548,0.0024558049
0.3498769064,0.0025107309
0.3499734580,0.0025658059
0.3500700096,0.0026210285
0.3501665611,0.0026763973
0.3502631127,0.0027319110
0.3503596643,0.0027875682
0.3504562158,0.0028433674
0.3505527674,0.0028993074
0.3506493189,0.0029553867
0.3507458705,0.0030116040
0.3508424220,0.0030679578
0.3509389735,0.0031244468
0.3510355251,0.0031810696
0.3511320766,0.0032378249
0.3512286281,0.0032947112
0.3513251796,0.0033517272
0.3514217311,0.0034088715
0.3515182826,0.0034661427
0.3516148341,0.0035235394
0.3517113856,0.0035810602
0.3518079370,0.0036387039
0.3519044885,0.0036964689
0.3520010400,0.0037543540
0.3520975914,0.0038123576
0.3521941429,0.0038704785
0.3522906943,0.0039287153
0.3523872458,0.0039870666
